cik,zip,state,city
79677,55433-8003,MN,MINNEAPOLIS
79716,99201,WA,SPOKANE
79879,15272,PA,PITTSBURGH
79958,97035,OR,LAKE OSWEGO
80035,44101,OH,CLEVELAND
80124,10960,NY,NYACK
80293,07004,NJ,FAIRFIELD
80420,77075,TX,HOUSTON
80424,45202,OH,CINCINNATI
80661,44143,OH,MAYFIELD VILLAGE
80941,07102,NJ,NEWARK
81050,10019,NY,NEW YORK
81061,33811,FL,LAKELAND
81205,02210,MA,BOSTON
81251,02110,MA,BOSTON
81362,19428,PA,CONSHOHOCKEN
81443,10001,NY,NEW YORK
81955,14203,NY,BUFFALO
82020,75240,TX,DALLAS
82166,57117,SD,SIOUX FALLS
82628,95131-1017,CA,SAN JOSE
82811,53203-2903,WI,MILWAUKEE
83527,01608,MA,WORCESTER
83588,45430,OH,DAYTON
83612,27102,NC,WINSTON-SALEM
84129,19112,PA,PHILADELPHIA
84237,85756,AZ,TUCSON
84246,61615,IL,PEORIA
84278,24038-3948,VA,ROANOKE
84290,77378,TX,WILLIS
84581,05654,VT,GRANITEVILLE
84748,85224,AZ,CHANDLER
84792,19106,PA,PHILADELPHIA
84839,30324,GA,ATLANTA
85388,21044-3456,MD,COLUMBIA
85408,EC4N 6AF,X0,LONDON
85535,80202,CO,DENVER
85704,28105,NC,MATTHEWS
85812,35011,AL,ALEXANDER CITY
85961,33134,FL,MIAMI
85974,91361-3027,CA,WESTLAKE VILLAGE
86104,98154,WA,SEATTLE
86115,19087,PA,RADNOR
86144,94588,CA,PLEASANTON
86312,55102,MN,SAINT PAUL
86317,06104-2999,CT,HARTFORD
86759,90025,CA,LOS ANGELES
87086,06040,CT,MANCHESTER
87196,90211-2795,CA,BEVERLY HILLS
87347,77056,TX,HOUSTON
87565,44333,OH,FAIRLAWN
87777,30044,GA,LAWRENCEVILLE
87864,90401,CA,SANTA MONICA
88000,10016,NY,NEW YORK
88051,10154-0004,NY,NEW YORK
88053,10022-6225,NY,NEW YORK
88063,10022-6225,NY,NEW YORK
88064,10022-6225,NY,NEW YORK
88121,66202,KS,SHAWNEE MISSION
